iter	RMSE
0	18.38267818
1	17.86475203
2	17.37346453
3	16.90250944
4	16.4552621
5	16.02962288
6	15.62580639
7	15.24037349
8	14.87527084
9	14.52781022
10	14.20114292
11	13.88774154
12	13.59076834
13	13.31042317
14	13.04435291
15	12.79219876
16	12.55371633
17	12.32790292
18	12.11589996
19	11.915979
20	11.72638052
21	11.5466844
22	11.37878352
23	11.2214997
24	11.07190711
25	10.93182699
26	10.79907587
27	10.67534654
28	10.55767606
29	10.44815507
30	10.3452393
31	10.24896472
32	10.15756501
33	10.07272445
34	9.991821656
35	9.916948775
36	9.846428327
37	9.781174825
38	9.71971936
39	9.662900334
40	9.608781533
41	9.558395711
42	9.510955254
43	9.466977694
44	9.425461548
45	9.387158571
46	9.35130243
47	9.317057663
48	9.28531098
49	9.25554317
50	9.227982806
51	9.202379782
52	9.178206157
53	9.155358826
54	9.133876418
55	9.114284533
56	9.095643035
57	9.078201696
58	9.062059404
59	9.046953798
60	9.03283824
61	9.019546675
62	9.007294222
63	8.995520049
64	8.984672133
65	8.974419997
66	8.9648281
67	8.955706702
68	8.947367264
69	8.939441764
70	8.931953074
71	8.924884064
72	8.918326948
73	8.912268608
74	8.906634321
75	8.901282233
76	8.896240065
77	8.89149674
78	8.887060328
79	8.882803075
80	8.878829377
81	8.875065839
82	8.871507361
83	8.868179695
84	8.865031177
85	8.862031549
86	8.859208732
87	8.856520331
88	8.854086134
89	8.851631094
90	8.849363263
91	8.84716258
92	8.845086521
93	8.843176008
94	8.841384471
95	8.839596163
96	8.837944439
97	8.836260072
98	8.834724059
99	8.833348158
100	8.831807595
101	8.830471234
102	8.82924973
103	8.828073456
104	8.826825545
105	8.825680423
106	8.824555387
107	8.823491372
108	8.822570262
109	8.821621166
110	8.8207381
111	8.819734366
112	8.818730067
113	8.817896665
114	8.816880005
115	8.81609684
116	8.815305053
117	8.814544708
118	8.813791502
119	8.812993204
120	8.812197985
121	8.811414855
122	8.810785688
123	8.81018215
124	8.809594787
125	8.808978555
126	8.808291098
127	8.807670719
128	8.80702236
129	8.806484353
130	8.805884126
131	8.805210398
132	8.804686252
133	8.804125115
134	8.803649586
135	8.803180792
136	8.802718736
137	8.802293622
138	8.801845496
139	8.801350906
140	8.800913553
141	8.80040358
142	8.799898087
143	8.799404291
144	8.798896937
145	8.798538389
146	8.798099993
147	8.797609253
148	8.797009322
149	8.796500025
150	8.79623296
151	8.795843625
152	8.795375318
153	8.795032869
154	8.794737333
155	8.794399823
156	8.794019432
157	8.793708519
158	8.793190908
159	8.792765334
160	8.792473784
161	8.792205242
162	8.791595915
163	8.791172069
164	8.790860153
165	8.790544162
166	8.790225
167	8.789753685
168	8.789473773
169	8.78901822
170	8.78836397
171	8.787844689
172	8.787403503
173	8.787100484
174	8.786855714
175	8.786741455
176	8.786481319
177	8.786121813
178	8.78580249
179	8.785519291
180	8.785157035
181	8.784812381
182	8.784413054
183	8.78396808
184	8.783593111
185	8.783169331
186	8.782970987
187	8.782790261
188	8.782403493
189	8.782145939
190	8.781988241
191	8.781760951
192	8.781294604
193	8.780948443
194	8.780721126
195	8.78047437
196	8.780200489
197	8.779987616
198	8.779745359
199	8.779317777
200	8.778863957
201	8.778571041
202	8.778454414
203	8.777972974
204	8.777586898
205	8.777265908
206	8.777110835
207	8.776836849
208	8.776506337
209	8.776172648
210	8.775943851
211	8.775789658
212	8.775626871
213	8.775294957
214	8.775092366
215	8.774827815
216	8.774653251
217	8.774147632
218	8.773976673
219	8.773392766
220	8.772997443
221	8.772872147
222	8.772769467
223	8.772328427
224	8.772207646
225	8.771887817
226	8.771534951
227	8.77131101
228	8.771097016
229	8.770875778
230	8.770778051
231	8.770404327
232	8.770275828
233	8.770128323
234	8.769923802
235	8.769725159
236	8.769487596
237	8.769353201
238	8.769026027
239	8.768855874
240	8.768544521
241	8.768291539
242	8.768003248
243	8.767886028
244	8.767726262
245	8.76731122
246	8.767149634
247	8.766736375
248	8.766407746
249	8.766262891
250	8.765955068
251	8.765527719
252	8.765360667
253	8.765043757
254	8.764869905
255	8.764755812
256	8.764490496
257	8.764194835
258	8.7639372
259	8.763472168
260	8.763187794
261	8.762991716
262	8.76290477
263	8.762761669
264	8.762563316
265	8.762200111
266	8.762018051
267	8.761800659
268	8.761761257
269	8.761700567
270	8.761483168
271	8.761025253
272	8.760890275
273	8.760600382
274	8.760424629
275	8.760279223
276	8.760079455
277	8.759782287
278	8.759730191
279	8.759700292
280	8.759448866
281	8.75935962
282	8.759111356
283	8.758952789
284	8.758786065
285	8.75851785
286	8.758183475
287	8.758072014
288	8.757883977
289	8.757636577
290	8.757386905
291	8.757236463
292	8.757075597
293	8.756841316
294	8.756773342
295	8.756569869
296	8.756353702
297	8.756119402
298	8.755849745
299	8.755658035
300	8.755458162
301	8.755160836
302	8.754783726
303	8.754553464
304	8.75422891
305	8.753968714
306	8.753645952
307	8.753304591
308	8.753234323
309	8.753089704
310	8.753041648
311	8.752798192
312	8.752768723
313	8.752431408
314	8.752157557
315	8.751701422
316	8.751267935
317	8.750916505
318	8.750703827
319	8.75063127
320	8.750380944
321	8.750046258
322	8.749834012
323	8.749640355
324	8.749330587
325	8.748933268
326	8.74862166
327	8.748252887
328	8.747907233
329	8.747701285
330	8.747374209
331	8.747156454
332	8.746981792
333	8.74678898
334	8.74647049
335	8.746178304
