iter	Passed	Remaining
0	94	188552
1	197	197064
2	297	197706
3	377	188519
4	468	187124
5	554	184361
6	644	183431
7	753	187578
8	870	192655
9	970	193090
10	1065	192638
11	1153	191138
12	1246	190458
13	1333	189200
14	1415	187346
15	1529	189715
16	1616	188528
17	1702	187429
18	1811	188886
19	1920	190136
20	2014	189798
21	2119	190549
22	2218	190668
23	2324	191364
24	2419	191129
25	2509	190507
26	2597	189811
27	2679	188705
28	2766	188013
29	2853	187409
30	2959	187979
31	3061	188275
32	3152	187907
33	3248	187837
34	3333	187180
35	3418	186512
36	3512	186333
37	3610	186420
38	3699	185995
39	3792	185830
40	3877	185255
41	3960	184637
42	4041	183950
43	4136	183900
44	4229	183743
45	4317	183409
46	4399	182823
47	4487	182494
48	4572	182071
49	4660	181746
50	4781	182742
51	4880	182829
52	4968	182538
53	5062	182431
54	5217	184493
55	5296	183870
56	5390	183752
57	5485	183653
58	5566	183113
59	5671	183379
60	5759	183068
61	5858	183132
62	5959	183238
63	6060	183339
64	6170	183677
65	6264	183582
66	6372	183859
67	6467	183756
68	6560	183602
69	6672	183967
70	6794	184589
71	6911	185063
72	7033	185664
73	7123	185403
74	7213	185134
75	7302	184862
76	7409	185037
77	7506	184968
78	7614	185167
79	7724	185376
80	7821	185292
81	7945	185854
82	8043	185770
83	8151	185923
84	8243	185717
85	8343	185689
86	8435	185480
87	8554	185873
88	8660	185952
89	8758	185876
90	8857	185816
91	8939	185407
92	9037	185326
93	9131	185161
94	9234	185180
95	9315	184754
96	9405	184530
97	9495	184281
98	9590	184156
99	9698	184280
100	9784	183973
101	9876	183775
102	9978	183774
103	10086	183888
104	10185	183820
105	10278	183648
106	10383	183707
107	10491	183787
108	10593	183780
109	10676	183434
110	10786	183569
111	10883	183458
112	10977	183314
113	11074	183208
114	11160	182937
115	11271	183061
116	11375	183083
117	11470	182940
118	11577	183010
119	11657	182636
120	11742	182348
121	11837	182219
122	11922	181937
123	12007	181658
124	12088	181320
125	12203	181505
126	12293	181307
127	12387	181173
128	12482	181037
129	12578	180931
130	12658	180607
131	12756	180520
132	12853	180437
133	12951	180349
134	13042	180172
135	13143	180145
136	13256	180267
137	13349	180126
138	13418	179649
139	13490	179229
140	13569	178910
141	13652	178631
142	13737	178392
143	13822	178158
144	13925	178155
145	14015	177974
146	14098	177721
147	14179	177434
148	14271	177287
149	14365	177180
150	14437	176788
151	14519	176524
152	14599	176239
153	14682	175999
154	14768	175792
155	14871	175786
156	14976	175802
157	15080	175813
158	15184	175814
159	15277	175688
160	15356	175412
161	15444	175222
162	15527	174994
163	15633	175024
164	15723	174859
165	15804	174611
166	15895	174469
167	15974	174201
168	16065	174058
169	16168	174049
170	16259	173907
171	16355	173828
172	16459	173828
173	16555	173738
174	16649	173634
175	16741	173502
176	16824	173282
177	16921	173208
178	17031	173265
179	17137	173278
180	17231	173171
181	17336	173170
182	17403	172800
183	17496	172681
184	17592	172593
185	17671	172343
186	17755	172140
187	17837	171924
188	17932	171828
189	18047	171925
190	18150	171903
191	18261	171959
192	18334	171662
193	18414	171425
194	18495	171203
195	18563	170858
196	18673	170905
197	18755	170693
198	18869	170776
199	18946	170521
200	19026	170288
201	19111	170111
202	19193	169905
203	19278	169723
204	19360	169526
205	19442	169319
206	19515	169038
207	19594	168812
208	19708	168886
209	19807	168834
210	19886	168610
211	19947	168233
212	20032	168064
213	20136	168052
214	20248	168106
215	20337	167971
216	20426	167832
217	20503	167604
218	20578	167351
219	20684	167357
220	20759	167110
221	20841	166919
222	20933	166811
223	21029	166733
224	21109	166529
225	21203	166437
226	21283	166234
227	21365	166054
228	21436	165785
229	21510	165535
230	21587	165313
231	21657	165043
232	21740	164871
233	21826	164721
234	21914	164593
235	22010	164518
236	22102	164412
237	22176	164183
238	22261	164028
239	22370	164050
240	22480	164078
241	22580	164033
242	22687	164041
243	22750	163728
244	22833	163565
245	22931	163504
246	23010	163311
247	23093	163147
248	23183	163029
249	23260	162823
250	23342	162650
251	23433	162545
252	23510	162343
253	23596	162200
254	23684	162077
255	23779	161999
256	23858	161811
257	23946	161685
258	24042	161615
259	24135	161523
260	24228	161429
261	24303	161219
262	24404	161181
263	24482	160988
264	24554	160765
265	24653	160710
266	24725	160482
267	24808	160331
268	24863	159997
269	24931	159743
270	25015	159599
271	25112	159539
272	25195	159384
273	25281	159257
274	25361	159084
275	25448	158958
276	25517	158727
277	25599	158569
278	25661	158293
279	25746	158155
280	25856	158175
281	25941	158037
282	26058	158097
283	26127	157866
284	26204	157684
285	26299	157614
286	26402	157584
287	26492	157481
288	26596	157463
289	26711	157504
290	26781	157284
291	26870	157171
292	26963	157088
293	27059	157018
294	27128	156793
295	27235	156786
296	27341	156778
297	27427	156651
298	27533	156639
299	27608	156448
300	27701	156359
301	27791	156256
302	27882	156159
303	28001	156220
304	28114	156243
305	28211	156178
306	28301	156071
307	28379	155901
308	28459	155745
309	28567	155736
310	28634	155509
311	28738	155482
312	28793	155191
313	28913	155249
314	29017	155221
315	29104	155102
316	29214	155106
317	29321	155088
318	29417	155019
319	29524	155006
320	29613	154896
321	29704	154793
322	29803	154735
323	29913	154739
324	30012	154677
325	30097	154551
326	30188	154450
327	30271	154311
328	30365	154226
329	30460	154148
330	30541	153999
331	30638	153929
332	30737	153871
333	30847	153868
334	30938	153768
335	31041	153728
336	31121	153574
337	31202	153426
338	31294	153335
339	31402	153315
340	31500	153255
341	31606	153224
342	31695	153117
343	31781	152995
344	31866	152865
345	31949	152730
346	32040	152629
347	32123	152494
348	32240	152516
349	32330	152413
350	32410	152265
351	32492	152123
352	32579	152008
353	32673	151921
354	32772	151862
355	32868	151787
356	32969	151732
357	33062	151642
358	33160	151577
359	33243	151441
360	33339	151366
361	33423	151237
362	33543	151271
363	33657	151273
364	33729	151088
365	33810	150944
366	33895	150819
367	33976	150678
368	34057	150536
369	34148	150437
370	34252	150397
371	34331	150248
372	34414	150114
373	34507	150026
374	34586	149875
375	34670	149745
376	34746	149583
377	34847	149530
378	34941	149444
379	35046	149409
380	35132	149290
381	35237	149250
382	35341	149210
383	35432	149110
384	35547	149115
385	35648	149058
386	35762	149056
387	35847	148934
388	35944	148859
389	36029	148738
390	36144	148736
391	36241	148663
392	36337	148586
393	36438	148528
394	36526	148419
395	36611	148293
396	36716	148253
397	36799	148122
398	36886	148007
399	36972	147888
400	37073	147833
401	37163	147731
402	37271	147700
403	37362	147601
404	37451	147496
405	37557	147455
406	37644	147339
407	37732	147231
408	37819	147115
409	37888	146934
410	37985	146857
411	38090	146814
412	38193	146763
413	38274	146627
414	38371	146551
415	38460	146444
416	38548	146335
417	38657	146305
418	38758	146244
419	38832	146084
420	38902	145907
421	38974	145739
422	39073	145670
423	39156	145543
424	39242	145427
425	39325	145302
426	39396	145128
427	39498	145074
428	39579	144940
429	39670	144844
430	39759	144737
431	39850	144644
432	39934	144519
433	40047	144504
434	40155	144467
435	40239	144346
436	40336	144270
437	40454	144270
438	40544	144168
439	40659	144156
440	40750	144058
441	40857	144018
442	40965	143978
443	41044	143841
444	41151	143798
445	41239	143690
446	41326	143580
447	41428	143518
448	41516	143412
